,Year,time,entropy
151,1971,151,2.377756948798235e+17
152,1972,152,2.3842249718779568e+17
153,1973,153,2.3905491760473942e+17
154,1974,154,2.406098051351751e+17
155,1975,155,2.4219068427535363e+17
156,1976,156,2.4187696202315862e+17
157,1977,157,2.425685095020931e+17
158,1978,158,2.447823029395307e+17
159,1979,159,2.4606179842715315e+17
160,1980,160,2.473268976478583e+17
161,1981,161,2.4795944725821088e+17
162,1982,162,2.4890827167373974e+17
163,1983,163,2.498570960892686e+17
164,1984,164,2.5143516578114803e+17
165,1985,165,2.5270024837627328e+17
166,1986,166,2.539703181457937e+17
167,1987,167,2.5527032762058176e+17
168,1988,168,2.5652960825553168e+17
169,1989,169,2.5747854638717974e+17
170,1990,170,2.5748069055598493e+17
171,1991,171,2.593785826239652e+17
172,1992,172,2.6064384400261866e+17
173,1993,173,2.6064384400261866e+17
174,1994,174,2.6222542072593552e+17
175,1995,175,2.62552042353192e+17
176,1996,176,2.6445000892441987e+17
177,1997,177,2.6574323376844064e+17
178,1998,178,2.670177811542278e+17
179,1999,179,2.6888116347666054e+17
180,2000,180,2.6951382503778208e+17
181,2001,181,2.7049189284926822e+17
182,2002,182,2.7212787549310045e+17
183,2003,183,2.7402644206630813e+17
184,2004,184,2.7624143640171712e+17
185,2005,185,2.7719071968832093e+17
186,2006,186,2.794034648525122e+17
187,2007,187,2.797113222820862e+17
188,2008,188,2.8129003260834966e+17
189,2009,189,2.8163281552218394e+17
190,2010,190,2.8416434644822608e+17
191,2011,191,2.8478079875252326e+17
192,2012,192,2.8669342473179043e+17
193,2013,193,2.8955606025277485e+17
194,2014,194,2.908687687314342e+17
195,2015,195,2.9253941170240096e+17
196,2016,196,2.944410127631338e+17
197,2017,197,2.963160685508811e+17
198,2018,198,2.978890988720012e+17
199,2019,199,2.9887372490975206e+17
