,Year,time,extrapAnomaly,extrapSST
74,1894,74,-0.22755404735926002,27.46466428264074
75,1895,75,-0.20062122444779273,27.491597105552206
76,1896,76,-0.1917748813440754,27.500443448655925
77,1897,77,-0.138931046420693,27.553287283579305
78,1898,78,-0.21395305663609032,27.47826527336391
79,1899,79,-0.18543332537104873,27.506785004628952
80,1900,80,-0.1888680374907553,27.503350292509243
81,1901,81,-0.19884962417692129,27.493368705823077
82,1902,82,-0.20043103660736072,27.49178729339264
83,1903,83,-0.24162893762000226,27.450589392379996
84,1904,84,-0.24162893762000226,27.450589392379996
85,1905,85,-0.22894380330596678,27.463274526694033
86,1906,86,-0.2331171746992966,27.459101155300704
87,1907,87,-0.24210246208705696,27.450115867912942
88,1908,88,-0.2803674756392908,27.411850854360708
89,1909,89,-0.2576702792973444,27.434548050702656
90,1910,90,-0.2576702792973444,27.434548050702656
91,1911,91,-0.26889641245776846,27.423321917542232
92,1912,92,-0.16123181593490135,27.5309865140651
93,1913,93,-0.16123181593490135,27.5309865140651
94,1914,94,-0.22913613626295462,27.463082193737044
95,1915,95,-0.22913613626295462,27.463082193737044
96,1916,96,-0.3158649046286414,27.37635342537136
97,1917,97,-0.2208427535691616,27.471375576430837
98,1918,98,-0.167340313761741,27.524878016238258
99,1919,99,0.0028813706089744298,27.695099700608974
100,1920,100,0.0028813706089744298,27.695099700608974
101,1921,101,0.0028813706089744298,27.695099700608974
102,1922,102,0.029563810912462973,27.721782140912463
103,1923,103,0.04806976525395429,27.740288095253952
104,1924,104,0.060654702896444174,27.752873032896442
105,1925,105,0.06594949857425349,27.75816782857425
106,1926,106,0.09591753961413273,27.78813586961413
107,1927,107,0.1730731314648598,27.86529146146486
108,1928,108,0.15882180214888844,27.85104013214889
109,1929,109,0.15882180214888844,27.85104013214889
110,1930,110,0.15882180214888844,27.85104013214889
111,1931,111,0.15882180214888844,27.85104013214889
112,1932,112,0.15720794248380296,27.849426272483804
113,1933,113,0.15720794248380296,27.849426272483804
114,1934,114,0.15720794248380296,27.849426272483804
115,1935,115,0.17226522771861005,27.86448355771861
116,1936,116,0.17571939307262885,27.86793772307263
117,1937,117,0.20882644212547521,27.901044772125474
118,1938,118,0.21965644212547522,27.911874772125476
119,1939,119,0.16460170218447398,27.856820032184473
120,1940,120,0.21828031589837293,27.91049864589837
121,1941,121,0.24099657104400496,27.933214901044003
122,1942,122,0.209516489359461,27.90173481935946
123,1943,123,0.20024447880046647,27.892462808800467
124,1944,124,0.21423423905144304,27.906452569051442
125,1945,125,0.21423423905144304,27.906452569051442
126,1946,126,0.18391429263951645,27.876132622639517
127,1947,127,0.1768941540648766,27.869112484064875
128,1948,128,0.14743708382470858,27.83965541382471
129,1949,129,0.17356344465345783,27.865781774653456
130,1950,130,0.17356344465345783,27.865781774653456
131,1951,131,0.16114655461064073,27.85336488461064
132,1952,132,0.16114655461064073,27.85336488461064
133,1953,133,0.16114655461064073,27.85336488461064
134,1954,134,0.14711978494851174,27.83933811494851
135,1955,135,0.21741753239665332,27.90963586239665
136,1956,136,0.22141753239665332,27.913635862396653
137,1957,137,0.30345134836437526,27.995669678364376
138,1958,138,0.27917357576131735,27.971391905761315
139,1959,139,0.2913096459624707,27.98352797596247
140,1960,140,0.28194070157827805,27.974159031578278
141,1961,141,0.27931892375009554,27.971537253750096
142,1962,142,0.27931892375009554,27.971537253750096
143,1963,143,0.27931892375009554,27.971537253750096
144,1964,144,0.27931892375009554,27.971537253750096
145,1965,145,0.27931892375009554,27.971537253750096
146,1966,146,0.27931892375009554,27.971537253750096
147,1967,147,0.2713159051643957,27.963534235164396
148,1968,148,0.2713159051643957,27.963534235164396
149,1969,149,0.2966865365098896,27.988904866509888
150,1970,150,0.27239352697450786,27.964611856974507
151,1971,151,0.25739352697450785,27.949611856974506
152,1972,152,0.2862221279990003,27.978440457999
153,1973,153,0.2862221279990003,27.978440457999
154,1974,154,0.23440200412274872,27.92662033412275
155,1975,155,0.23440200412274872,27.92662033412275
156,1976,156,0.23923533745608205,27.931453667456083
157,1977,157,0.3555834714349994,28.047801801435
158,1978,158,0.3555834714349994,28.047801801435
159,1979,159,0.38364171785583684,28.075860047855837
160,1980,160,0.38364171785583684,28.075860047855837
161,1981,161,0.38364171785583684,28.075860047855837
162,1982,162,0.38364171785583684,28.075860047855837
163,1983,163,0.38364171785583684,28.075860047855837
164,1984,164,0.3773711809108011,28.0695895109108
165,1985,165,0.3773711809108011,28.0695895109108
166,1986,166,0.38674101923066506,28.078959349230665
167,1987,167,0.45200818272655696,28.144226512726558
168,1988,168,0.44084151605989025,28.13305984605989
169,1989,169,0.44084151605989025,28.13305984605989
170,1990,170,0.44481736855269566,28.137035698552694
171,1991,171,0.44481736855269566,28.137035698552694
172,1992,172,0.44481736855269566,28.137035698552694
173,1993,173,0.44481736855269566,28.137035698552694
174,1994,174,0.44481736855269566,28.137035698552694
175,1995,175,0.46356116307872175,28.15577949307872
176,1996,176,0.46356116307872175,28.15577949307872
177,1997,177,0.5137362386227784,28.20595456862278
178,1998,178,0.5300262386227784,28.222244568622777
179,1999,179,0.4681182869452159,28.160336616945216
180,2000,180,0.4681182869452159,28.160336616945216
181,2001,181,0.5194666001392837,28.211684930139285
182,2002,182,0.6146101769546509,28.306828506954652
183,2003,183,0.6146101769546509,28.306828506954652
184,2004,184,0.6146101769546509,28.306828506954652
185,2005,185,0.6146101769546509,28.306828506954652
186,2006,186,0.6107605067701004,28.302978836770098
187,2007,187,0.5961135561445122,28.288331886144512
188,2008,188,0.5903898737099206,28.28260820370992
189,2009,189,0.6351716749636597,28.327390004963657
190,2010,190,0.6351716749636597,28.327390004963657
191,2011,191,0.6075787968562553,28.299797126856255
192,2012,192,0.6310796728796118,28.32329800287961
193,2013,193,0.6553453791611813,28.347563709161182
194,2014,194,0.7325056309750276,28.424723960975026
195,2015,195,0.8768418893936061,28.569060219393606
196,2016,196,0.8800897382279431,28.572308068227944
197,2017,197,0.840352018171607,28.532570348171607
198,2018,198,0.8244977778217475,28.516716107821747
199,2019,199,0.8805177497820807,28.57273607978208
