,Year,time,interpolatedCO2
124,1874,124,288.8405112793658
125,1875,125,288.8405112793658
126,1876,126,288.8405112793658
127,1877,127,288.8405112793658
128,1878,128,290.6975584915881
129,1879,129,290.6975584915881
130,1880,130,290.6975584915881
131,1881,131,290.6975584915881
132,1882,132,290.6975584915881
133,1883,133,292.7766654562121
134,1884,134,292.7766654562121
135,1885,135,292.7766654562121
136,1886,136,292.7766654562121
137,1887,137,292.7766654562121
138,1888,138,294.7522717542506
139,1889,139,294.7522717542506
140,1890,140,294.7522717542506
141,1891,141,294.7522717542506
142,1892,142,294.7522717542506
143,1893,143,294.89780543684407
144,1894,144,294.89780543684407
145,1895,145,294.89780543684407
146,1896,146,294.89780543684407
147,1897,147,294.89780543684407
148,1898,148,294.9347608300488
149,1899,149,294.9347608300488
150,1900,150,294.9347608300488
151,1901,151,294.9347608300488
152,1902,152,294.9347608300488
153,1903,153,297.4354570781455
154,1904,154,297.4354570781455
155,1905,155,297.4354570781455
156,1906,156,297.4354570781455
157,1907,157,297.4354570781455
158,1908,158,300.1176250213469
159,1909,159,300.1176250213469
160,1910,160,300.1176250213469
161,1911,161,300.1176250213469
162,1912,162,300.1176250213469
163,1913,163,301.4028189217703
164,1914,164,301.4028189217703
165,1915,165,301.4028189217703
166,1916,166,301.4028189217703
167,1917,167,301.4028189217703
168,1918,168,301.4028189217703
169,1919,169,301.4028189217703
170,1920,170,301.4028189217703
171,1921,171,301.4028189217703
172,1922,172,301.4028189217703
173,1923,173,304.8203584354481
174,1924,174,304.8203584354481
175,1925,175,304.8203584354481
176,1926,176,304.8203584354481
177,1927,177,304.8203584354481
178,1928,178,308.03468653872926
179,1929,179,308.03468653872926
180,1930,180,308.03468653872926
181,1931,181,308.03468653872926
182,1932,182,308.03468653872926
183,1933,183,310.66849849371266
184,1934,184,310.66849849371266
185,1935,185,310.66849849371266
186,1936,186,310.66849849371266
187,1937,187,310.66849849371266
188,1938,188,310.66849849371266
189,1939,189,310.66849849371266
190,1940,190,310.66849849371266
191,1941,191,310.66849849371266
192,1942,192,310.66849849371266
193,1943,193,310.66849849371266
194,1944,194,310.66849849371266
195,1945,195,310.66849849371266
196,1946,196,310.66849849371266
197,1947,197,310.66849849371266
198,1948,198,310.7746733337037
199,1949,199,310.7746733337037
200,1950,200,310.7746733337037
201,1951,201,310.7746733337037
202,1952,202,310.7746733337037
203,1953,203,313.0707438135421
204,1954,204,313.0707438135421
205,1955,205,313.0707438135421
206,1956,206,313.0707438135421
207,1957,207,315.3503277820476
208,1958,208,315.3503277820476
209,1959,209,315.18093891014445
210,1960,210,317.0756315997581
211,1961,211,316.91136234510265
212,1962,212,317.55758381344594
213,1963,213,318.4408439233917
214,1964,214,319.03409576161096
215,1965,215,319.7378586478536
216,1966,216,319.97825723143535
217,1967,217,321.4966172599669
218,1968,218,322.0152014029445
219,1969,219,322.9503313274016
220,1970,220,324.74281633037066
221,1971,221,325.70356611281346
222,1972,222,326.27332224647233
223,1973,223,327.47842221298373
224,1974,224,329.64644573682966
225,1975,225,331.48810743650665
226,1976,226,331.12484478547543
227,1977,227,331.98004994498183
228,1978,228,334.8792142861177
229,1979,229,336.94852443990504
230,1980,230,338.4567434146504
231,1981,231,339.51105905596313
232,1982,232,340.87660414049105
233,1983,233,341.8455058211428
234,1984,234,344.3282610335289
235,1985,235,345.75554394847967
236,1986,236,347.44452554447315
237,1987,237,349.2023971238228
238,1988,238,351.18857609194316
239,1989,239,352.5583978291633
240,1990,240,352.5583978291633
241,1991,241,354.89651306720043
242,1992,242,356.57590968589676
243,1993,243,356.62474966136205
244,1994,244,359.0559501772408
245,1995,245,359.208955905092
246,1996,246,361.76554398269906
247,1997,247,363.79830292622745
248,1998,248,365.3385283014818
249,1999,249,367.77923711056815
250,2000,250,368.83644449987185
251,2001,251,370.0380933083123
252,2002,252,372.47628430310607
253,2003,253,375.0439286065397
254,2004,254,377.7520718660092
255,2005,255,379.0921046935105
256,2006,256,382.2342823270328
257,2007,257,382.7707628749326
258,2008,258,385.0332118863129
259,2009,259,385.24074462512027
260,2010,260,388.5806333803226
261,2011,261,389.7014241810105
262,2012,262,392.27923777286776
263,2013,263,395.945215171218
264,2014,264,397.87612621771825
265,2015,265,399.80556451799924
266,2016,266,402.54487493835245
267,2017,267,405.15279692428663
268,2018,268,407.45264596316434
269,2019,269,408.64642901929375
